34.0 APEX_CODE,FINEST;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
14:07:36.0 (65904)|EXECUTION_STARTED
14:07:36.0 (135709)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000DHDD5|HttpClient_Tests.WhenMakingFutureRequest_ShouldHandleResponse
14:07:36.0 (245164)|VARIABLE_SCOPE_BEGIN|[43]|HttpClient_Tests.TestResponseHandlerCalled|Integer|false|true
14:07:36.0 (368872)|HEAP_ALLOCATE|[72]|Bytes:3
14:07:36.0 (407466)|HEAP_ALLOCATE|[77]|Bytes:152
14:07:36.0 (429755)|HEAP_ALLOCATE|[342]|Bytes:408
14:07:36.0 (453676)|HEAP_ALLOCATE|[355]|Bytes:408
14:07:36.0 (475271)|HEAP_ALLOCATE|[467]|Bytes:48
14:07:36.0 (506897)|HEAP_ALLOCATE|[139]|Bytes:6
14:07:36.0 (530140)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:41
14:07:36.0 (535552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
14:07:36.0 (549583)|METHOD_ENTRY|[2]|01p3600000DHDD5|HttpClient_Tests.HttpClient_Tests()
14:07:36.0 (553026)|STATEMENT_EXECUTE|[2]
14:07:36.0 (558418)|STATEMENT_EXECUTE|[2]
14:07:36.0 (559879)|STATEMENT_EXECUTE|[43]
14:07:36.0 (566872)|HEAP_ALLOCATE|[43]|Bytes:4
14:07:36.0 (594311)|VARIABLE_ASSIGNMENT|[43]|HttpClient_Tests.TestResponseHandlerCalled|0
14:07:36.0 (597956)|STATEMENT_EXECUTE|[44]
14:07:36.0 (599255)|STATEMENT_EXECUTE|[54]
14:07:36.0 (608270)|METHOD_EXIT|[2]|HttpClient_Tests
14:07:36.0 (645713)|HEAP_ALLOCATE|[50]|Bytes:5
14:07:36.0 (665336)|HEAP_ALLOCATE|[56]|Bytes:5
14:07:36.0 (674655)|HEAP_ALLOCATE|[64]|Bytes:7
14:07:36.0 (712658)|STATEMENT_EXECUTE|[27]
14:07:36.0 (715384)|STATEMENT_EXECUTE|[28]
14:07:36.0 (2100620)|HEAP_ALLOCATE|[28]|Bytes:6
14:07:36.0 (2108937)|HEAP_ALLOCATE|[28]|Bytes:2
14:07:36.0 (2132006)|METHOD_ENTRY|[1]|01p3600000DHD0N|HttpClient.HttpClient()
14:07:36.0 (2135941)|STATEMENT_EXECUTE|[1]
14:07:36.0 (2141553)|STATEMENT_EXECUTE|[1]
14:07:36.0 (2786684)|SYSTEM_MODE_ENTER|false
14:07:36.0 (2804335)|HEAP_ALLOCATE|[28]|Bytes:5
14:07:36.0 (2811523)|SYSTEM_MODE_EXIT|false
14:07:36.0 (2822999)|METHOD_EXIT|[1]|HttpClient
14:07:36.0 (2838667)|HEAP_ALLOCATE|[28]|Bytes:4
14:07:36.0 (2854211)|CONSTRUCTOR_ENTRY|[28]|01p3600000DHD0N|<init>()
14:07:36.0 (2879769)|VARIABLE_SCOPE_BEGIN|[1]|this|LabTools.HttpClient|true|false
14:07:36.0 (2902093)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x398f3dc
14:07:36.0 (2909613)|SYSTEM_MODE_ENTER|false
14:07:36.0 (2914584)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:07:36.0 (2924459)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
14:07:36.0 (2948097)|SYSTEM_MODE_EXIT|false
14:07:36.0 (2952109)|STATEMENT_EXECUTE|[1]
14:07:36.0 (2955697)|SYSTEM_MODE_ENTER|false
14:07:36.0 (2959222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:07:36.0 (2962473)|SYSTEM_MODE_EXIT|false
14:07:36.0 (2975066)|CONSTRUCTOR_EXIT|[28]|01p3600000DHD0N|<init>()
14:07:36.0 (2979864)|VARIABLE_SCOPE_BEGIN|[28]|client|LabTools.HttpClient|true|false
14:07:36.0 (2994087)|VARIABLE_ASSIGNMENT|[28]|client|{}|0x398f3dc
14:07:36.0 (2997094)|STATEMENT_EXECUTE|[29]
14:07:36.0 (3462257)|HEAP_ALLOCATE|[29]|Bytes:4
14:07:36.0 (3488603)|METHOD_ENTRY|[1]|01p3600000DHD0S|FutureRequest.FutureRequest()
14:07:36.0 (3492343)|STATEMENT_EXECUTE|[1]
14:07:36.0 (3497470)|STATEMENT_EXECUTE|[1]
14:07:36.0 (3502739)|SYSTEM_MODE_ENTER|false
14:07:36.0 (3508242)|HEAP_ALLOCATE|[29]|Bytes:5
14:07:36.0 (3513113)|SYSTEM_MODE_EXIT|false
14:07:36.0 (3521850)|METHOD_EXIT|[1]|FutureRequest
14:07:36.0 (3537238)|HEAP_ALLOCATE|[29]|Bytes:16
14:07:36.0 (3547361)|CONSTRUCTOR_ENTRY|[29]|01p3600000DHD0S|<init>()
14:07:36.0 (3569861)|VARIABLE_SCOPE_BEGIN|[1]|this|LabTools.FutureRequest|true|false
14:07:36.0 (3595840)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x51df6890
14:07:36.0 (3603333)|SYSTEM_MODE_ENTER|false
14:07:36.0 (3608118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:07:36.0 (3624804)|SYSTEM_MODE_EXIT|false
14:07:36.0 (3628080)|STATEMENT_EXECUTE|[1]
14:07:36.0 (3630904)|SYSTEM_MODE_ENTER|false
14:07:36.0 (3634054)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:07:36.0 (3636448)|STATEMENT_EXECUTE|[2]
14:07:36.0 (3637852)|STATEMENT_EXECUTE|[3]
14:07:36.0 (3639120)|STATEMENT_EXECUTE|[4]
14:07:36.0 (3641004)|SYSTEM_MODE_EXIT|false
14:07:36.0 (3645233)|CONSTRUCTOR_EXIT|[29]|01p3600000DHD0S|<init>()
14:07:36.0 (3649307)|VARIABLE_SCOPE_BEGIN|[29]|request|LabTools.FutureRequest|true|false
14:07:36.0 (3664007)|VARIABLE_ASSIGNMENT|[29]|request|{}|0x51df6890
14:07:36.0 (3667312)|STATEMENT_EXECUTE|[30]
14:07:36.0 (3671543)|HEAP_ALLOCATE|[30]|Bytes:21
14:07:36.0 (3702387)|METHOD_ENTRY|[30]|01p3600000DHD0S|LabTools.FutureRequest.Get(String)
14:07:36.0 (3727273)|VARIABLE_SCOPE_BEGIN|[15]|this|LabTools.FutureRequest|true|false
14:07:36.0 (3759287)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x51df6890
14:07:36.0 (3764795)|VARIABLE_SCOPE_BEGIN|[15]|url|String|false|false
14:07:36.0 (3773994)|VARIABLE_ASSIGNMENT|[15]|url|"http://www.google.co (1 more) ..."
14:07:36.0 (3788777)|SYSTEM_MODE_ENTER|false
14:07:36.0 (3793916)|HEAP_ALLOCATE|[16]|Bytes:5
14:07:36.0 (3798081)|STATEMENT_EXECUTE|[15]
14:07:36.0 (3799530)|STATEMENT_EXECUTE|[16]
14:07:36.0 (3810773)|VARIABLE_ASSIGNMENT|[16]|this.endpoint|"http://www.google.co (1 more) ..."|0x51df6890
14:07:36.0 (3813522)|STATEMENT_EXECUTE|[17]
14:07:36.0 (3816176)|HEAP_ALLOCATE|[17]|Bytes:3
14:07:36.0 (3823573)|VARIABLE_ASSIGNMENT|[17]|this.method|"GET"|0x51df6890
14:07:36.0 (3828076)|SYSTEM_MODE_EXIT|false
