34.0 APEX_CODE,FINEST;APEX_PROFILING,DEBUG;CALLOUT,DEBUG;DB,DEBUG;SYSTEM,DEBUG;VALIDATION,DEBUG;VISUALFORCE,DEBUG;WORKFLOW,DEBUG
14:01:18.20 (20371294)|EXECUTION_STARTED
14:01:18.20 (20393701)|CODE_UNIT_STARTED|[EXTERNAL]|01p3600000DHL7Q|JobRunner_Tests.WhenIntegrating_ShouldNotFailRun
14:01:18.20 (20526763)|HEAP_ALLOCATE|[72]|Bytes:3
14:01:18.20 (20560408)|HEAP_ALLOCATE|[77]|Bytes:152
14:01:18.20 (20578474)|HEAP_ALLOCATE|[342]|Bytes:408
14:01:18.20 (20601223)|HEAP_ALLOCATE|[355]|Bytes:408
14:01:18.20 (20622075)|HEAP_ALLOCATE|[467]|Bytes:48
14:01:18.20 (20649574)|HEAP_ALLOCATE|[139]|Bytes:6
14:01:18.20 (20672984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:39
14:01:18.20 (20685903)|METHOD_ENTRY|[2]|01p3600000DHL7Q|JobRunner_Tests.JobRunner_Tests()
14:01:18.20 (20689164)|STATEMENT_EXECUTE|[2]
14:01:18.20 (20694197)|STATEMENT_EXECUTE|[2]
14:01:18.20 (20699239)|METHOD_EXIT|[2]|JobRunner_Tests
14:01:18.20 (20734901)|HEAP_ALLOCATE|[50]|Bytes:5
14:01:18.20 (20753683)|HEAP_ALLOCATE|[56]|Bytes:5
14:01:18.20 (20763651)|HEAP_ALLOCATE|[64]|Bytes:7
14:01:18.20 (20797084)|STATEMENT_EXECUTE|[4]
14:01:18.20 (20799534)|STATEMENT_EXECUTE|[5]
14:01:18.20 (20866495)|HEAP_ALLOCATE|[5]|Bytes:4
14:01:18.20 (20982197)|HEAP_ALLOCATE|[6]|Bytes:4
14:01:18.20 (21047633)|VARIABLE_ASSIGNMENT|[5]|this.Name|"Test"|0x32753647
14:01:18.20 (21098052)|HEAP_ALLOCATE|[5]|Bytes:28
14:01:18.20 (21102209)|HEAP_ALLOCATE|[5]|Bytes:28
14:01:18.20 (21147189)|VARIABLE_ASSIGNMENT|[5]|this.LabTools__RecurrenceRate__c|1|0x32753647
14:01:18.20 (21153513)|HEAP_ALLOCATE|[8]|Bytes:5
14:01:18.20 (21182226)|VARIABLE_ASSIGNMENT|[5]|this.LabTools__RecurrenceType__c|"Hours"|0x32753647
14:01:18.20 (21232868)|HEAP_ALLOCATE|[9]|Bytes:56
14:01:18.20 (21317206)|VARIABLE_ASSIGNMENT|[5]|this.LabTools__StartOn__c|"2016-05-31T21:01:19.009Z"|0x32753647
14:01:18.20 (21344939)|VARIABLE_SCOPE_BEGIN|[5]|runner|LabTools__Runner__c|true|false
14:01:18.20 (21374446)|VARIABLE_ASSIGNMENT|[5]|runner|{"Name":"Test","LabTools__Recurrence (7 more) ...":1,"LabTools__Recurrence (7 more) ...":"Hours","LabTools__StartOn__c":"2016-05-31T21:01:19.009Z"}|0x32753647
14:01:18.20 (21379769)|STATEMENT_EXECUTE|[11]
14:01:18.20 (21422123)|HEAP_ALLOCATE|[11]|Bytes:8
14:01:18.20 (21439876)|DML_BEGIN|[11]|Op:Insert|Type:LabTools__Runner__c|Rows:1
14:01:18.20 (21472578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:01:18.20 (74605745)|DML_END|[11]
14:01:18.20 (74643840)|STATEMENT_EXECUTE|[13]
14:01:18.20 (74812160)|HEAP_ALLOCATE|[13]|Bytes:4
14:01:18.20 (74960160)|ENTERING_MANAGED_PKG|
14:01:18.20 (75005252)|VARIABLE_SCOPE_BEGIN|[13]|testJobs|List<LabTools__Job__c>|true|false
14:01:18.20 (75020681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:01:18.20 (75040642)|VARIABLE_ASSIGNMENT|[13]|testJobs|{"s":1,"v":[]}|0x25697612
